account_id,year_month_str,spending_debit,income_credit,interest_credit,debit_count,credit_count,total_trans_count,ending_balance,spending_hh,spending_st,spending_in,spending_lo,spending_io,spending_other,last_trans_id,last_trans_date
1,2015-03,0.0,100.0,0.0,0,1,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2015-03-24
1,2015-04,0.0,1629.8200000000002,0.0,0,3,3,1729.82,0.0,0.0,0.0,0.0,0.0,0.0,3530438,2015-04-30
1,2015-05,0.0,585.8,0.0,0,3,3,2315.62,0.0,0.0,0.0,0.0,0.0,0.0,3530439,2015-05-31
1,2015-06,20.0,377.96,0.0,1,2,3,2673.58,0.0,0.0,0.0,0.0,0.0,20.0,3530440,2015-06-30
1,2015-07,530.0,378.78999999999996,0.0,1,2,3,2522.37,0.0,0.0,0.0,0.0,0.0,530.0,3530441,2015-07-31
1,2015-08,751.46,377.82,0.0,2,2,4,2150.19,0.0,1.46,0.0,0.0,0.0,750.0,3530442,2015-08-31
1,2015-09,316.65999999999997,377.04999999999995,0.0,3,2,5,2210.58,245.2,1.46,0.0,0.0,0.0,70.0,3530443,2015-09-30
1,2015-10,536.66,376.95,0.0,3,2,5,2050.87,245.2,1.46,0.0,0.0,0.0,290.0,3530444,2015-10-31
1,2015-11,523.66,376.41999999999996,0.0,4,2,6,1990.62,245.2,1.46,0.0,0.0,0.0,277.0,3530445,2015-11-30
1,2015-12,460.65999999999997,375.79999999999995,0.0,4,2,6,1818.76,245.2,1.46,0.0,0.0,0.0,214.0,3530446,2015-12-31
1,2016-01,833.66,374.31,0.0,10,2,12,1359.41,245.2,1.46,0.0,0.0,0.0,587.0,3530447,2016-01-31
1,2016-02,246.66,383.87,0.0,2,3,5,1496.62,245.2,1.46,0.0,0.0,0.0,0.0,3530448,2016-02-29
1,2016-03,246.66,394.46999999999997,0.0,2,3,5,1644.44,245.2,1.46,0.0,0.0,0.0,0.0,3530449,2016-03-31
1,2016-04,446.65999999999997,374.65999999999997,0.0,3,2,5,1572.43,245.2,1.46,0.0,0.0,0.0,200.0,3530450,2016-04-30
1,2016-05,502.65999999999997,374.22999999999996,0.0,4,2,6,1444.0,245.2,1.46,0.0,0.0,0.0,256.0,3530451,2016-05-31
1,2016-06,282.65999999999997,514.4499999999999,0.0,3,3,6,1675.8,245.2,1.46,0.0,0.0,0.0,36.0,3530452,2016-06-30
1,2016-07,345.65999999999997,475.17999999999995,0.0,3,3,6,1805.31,245.2,1.46,0.0,0.0,0.0,99.0,3530453,2016-07-31
1,2016-08,501.65999999999997,615.47,0.0,4,3,7,1919.13,245.2,1.46,0.0,0.0,0.0,255.0,3530454,2016-08-31
1,2016-09,416.65999999999997,375.78,0.0,3,2,5,1878.24,245.2,1.46,0.0,0.0,0.0,170.0,3530455,2016-09-30
1,2016-10,573.66,375.21999999999997,0.0,4,2,6,1679.81,245.2,1.46,0.0,0.0,0.0,327.0,3530456,2016-10-31
1,2016-11,526.66,375.14,0.0,3,2,5,1528.29,245.2,1.46,0.0,0.0,0.0,280.0,3530457,2016-11-30
1,2016-12,634.66,373.82,0.0,4,2,6,1267.45,245.2,1.46,0.0,0.0,0.0,388.0,3530458,2016-12-31
1,2017-01,477.65999999999997,493.44,0.0,6,3,9,1283.23,245.2,1.46,0.0,0.0,0.0,231.0,3530459,2017-01-31
1,2017-02,366.65999999999997,543.73,0.0,4,3,7,1460.29,245.2,1.46,0.0,0.0,0.0,120.0,3530460,2017-02-28
1,2017-03,706.66,373.09,0.0,3,2,5,1126.72,245.2,1.46,0.0,0.0,0.0,460.0,3530461,2017-03-31
1,2017-04,246.66,372.85999999999996,0.0,2,2,4,1252.92,245.2,1.46,0.0,0.0,0.0,0.0,3530462,2017-04-30
